"RouteID","PaymentPlan","StartHub","StartLatitude","StartLongitude","StartDate","StartTime","EndHub","EndLatitude","EndLongitude","EndDate","EndTime","TripType","BikeID","BikeName","Distance_Miles","Duration","RentalAccessPath","MultipleRental","Mph"
10643108,"Subscriber","",45.4972253,-122.6239055,"1/18/2019","0:33","SE 29th and Gladstone - Community Corral",45.493341,-122.635762,"1/18/2019","0:55","",6555,"0322 BIKETOWN",10015.78,22.7,"mobile",FALSE,26473.4273127753
10753147,"Subscriber","",45.5178883,67.18144,"2/7/2019","7:51","",45.5174959,-122.6926172,"2/7/2019","7:53","",6650,"0814 BIKETOWN",6125.21,2.4,"mobile",FALSE,153130.25
10841962,"Subscriber","NW 20th at Burnside",45.52331306,-122.6932633,"2/21/2019","15:29","",45.527731,-122.6944865,"2/21/2019","15:32","",7355,"1006  DESIGN BIKE, NE CYCLING LIFE",15527.18,3,"keypad_rfid_card",FALSE,310543.6
11468802,"Subscriber","",45.56278,33.9240533,"5/23/2019","13:01","",45.5626863,-122.6749798,"5/23/2019","13:44","",7206,"0553 MSS BIKETOWN",5990.42,43.4166666666667,"keypad_rfid_card",FALSE,8278.50748560461
12297891,"Casual","",45.5129381,-122.6616748,"9/12/2019","18:57","",45.5154699,-122.6736457,"9/12/2019","19:11","",6635,"0250 BIKETOWN",11989.44,13.35,"keypad",TRUE,53885.1235955056
12501941,"Subscriber","NW 20th at Burnside",45.52331306,-122.6932633,"10/9/2019","13:36","",45.512023,-122.6836064,"10/9/2019","13:49","",6229,"0501 XM BIKETOWN",7764.97,13.2666666666667,"mobile",FALSE,35117.9547738693
12587277,"Casual","SE Belmont at 33rd",45.51649676,-122.6307517,"10/21/2019","21:39","",45.5164496,-122.6401575,"10/21/2019","21:46","",6027,"0674 BIKETOWN",5994.72,7.2,"keypad",FALSE,49956
12722459,"Casual","SE 34th at Hawthorne",45.511907,-122.6294804,"11/11/2019","11:33","",45.5047991,-122.6295795,"11/11/2019","11:39","",6656,"0643 BIKETOWN",5994.92,5.43333333333333,"keypad",FALSE,66201.5705521472
12946914,"Subscriber","",45.5282986,-122.6823288,"1/9/2020","5:18","",45.5230215,-122.679085,"1/9/2020","5:27","",6671,"0852 BIKETOWN  ",1590.71,8.31666666666667,"keypad",FALSE,11476.0641282565
13043904,"Subscriber","",45.5097828,-122.6780234,"2/3/2020","16:26","SE 14th at Stark",45.51844688,-122.651685,"2/3/2020","16:41","",6861,"0541 BIKETOWN",1589.5,15.65,"mobile",FALSE,6093.92971246006
13179222,"Subscriber","",45.5251884,-122.67753,"3/17/2020","10:08","NW Broadway at Everett",45.52507854,-122.6775563,"3/17/2020","10:14","",7340,"1025 VETERANS BIKE",1593.68,6.66666666666667,"mobile",FALSE,14343.12
